Gender,Age,family_history_with_overweight,FAVC,NCP,CAEC,CH2O,FAF,CALC,MTRANS,NObeyesdad
Male,55,no,yes,3,Sometimes,2.0,1,no,Automobile,Overweight_Level_II
Male,55,yes,yes,3,Sometimes,2.0,1,no,Automobile,Overweight_Level_II
Male,55,yes,yes,3,Sometimes,2.0,1,no,Automobile,Overweight_Level_II
Male,50,yes,yes,3,Sometimes,1.77,0,no,Automobile,Overweight_Level_II
Male,47,yes,yes,3,Sometimes,1.15,0,no,Automobile,Overweight_Level_II
Female,47,yes,yes,1,Sometimes,1.83,0,no,Automobile,Obesity_Type_I
Male,46,yes,yes,3,Sometimes,1.57,0,no,Automobile,Overweight_Level_II
Female,45,yes,yes,3,Sometimes,1.03,0,no,Automobile,Overweight_Level_II
Female,43,yes,yes,3,Sometimes,2.81,0,Sometimes,Automobile,Obesity_Type_I
Female,43,yes,yes,2,Sometimes,2.47,0,no,Automobile,Obesity_Type_I
Female,43,yes,yes,1,Sometimes,2.0,1,no,Automobile,Obesity_Type_I
Female,43,yes,yes,3,Sometimes,2.12,0,no,Automobile,Obesity_Type_I
Female,43,yes,yes,3,Sometimes,2.09,0,Sometimes,Automobile,Obesity_Type_I
Female,43,yes,yes,1,Sometimes,1.89,0,no,Automobile,Obesity_Type_I
Female,43,yes,yes,2,Sometimes,1.83,0,no,Automobile,Overweight_Level_II
Female,42,yes,yes,1,Sometimes,1.87,1,no,Automobile,Obesity_Type_I
Female,42,yes,yes,2,Sometimes,1.72,0,no,Automobile,Obesity_Type_I
Female,42,yes,yes,2,Sometimes,1.85,0,no,Automobile,Obesity_Type_I
Female,42,yes,yes,2,Sometimes,2.11,0,Sometimes,Automobile,Overweight_Level_I
Female,42,yes,yes,3,Sometimes,1.0,0,no,Automobile,Overweight_Level_II
Female,41,no,yes,3,Sometimes,2.72,3,Sometimes,Automobile,Overweight_Level_I
Female,41,yes,yes,3,Sometimes,1.3,0,no,Automobile,Overweight_Level_II
Female,41,yes,yes,2,Sometimes,1.51,0,Sometimes,Automobile,Obesity_Type_I
Female,41,yes,yes,3,Sometimes,2.09,0,Sometimes,Automobile,Obesity_Type_I
Female,40,yes,yes,3,Sometimes,2.95,0,no,Automobile,Obesity_Type_I
Male,40,yes,yes,2,Sometimes,1.02,0,no,Automobile,Obesity_Type_II
Female,40,yes,yes,1,Sometimes,1.37,1,Sometimes,Automobile,Obesity_Type_I
Female,40,yes,yes,3,Sometimes,1.41,0,Sometimes,Automobile,Obesity_Type_I
Male,40,yes,yes,3,Sometimes,1.02,0,no,Automobile,Obesity_Type_II
Female,40,yes,yes,1,Sometimes,1.69,1,Sometimes,Automobile,Obesity_Type_I
Female,40,yes,yes,3,Sometimes,1.33,0,Sometimes,Automobile,Obesity_Type_I
Female,40,yes,yes,3,Sometimes,1.0,0,Sometimes,Automobile,Obesity_Type_I
Male,40,yes,yes,3,Sometimes,1.01,1,no,Automobile,Obesity_Type_II
Male,40,yes,yes,2,Sometimes,1.87,0,no,Automobile,Obesity_Type_II
Male,40,yes,yes,3,Sometimes,1.0,1,no,Automobile,Obesity_Type_II
Female,40,yes,yes,3,Sometimes,1.57,0,Sometimes,Automobile,Obesity_Type_I
Male,40,yes,yes,3,Sometimes,1.0,1,no,Automobile,Obesity_Type_II
Male,40,yes,yes,3,Sometimes,2.68,1,Sometimes,Automobile,Obesity_Type_I
Male,40,yes,yes,2,Sometimes,1.73,0,Sometimes,Automobile,Obesity_Type_II
